V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
6.6899,0,9.437,4.6494,1.2866,0.4897,0.9094,0.5438,0,1.0704,1.2304,1.6795,5.5853,0,1.4551,4.8399,0.1594,0.3185,0,0.2966,0,2.977,0.8283,3.0472,1.6917,0.142,1.5154,0.2799,1.8958,1.5527,0.4463,0.7083,1.0967,4.9281,0,0,1.1565,0.6358,0.6412,0.4849,0,0.4809,0,0,0.1198,0.1197,0.1196,0.8356,0.1191,0.1194,0,7e-04,0,1.0636,0.2354,0.1176,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.8363,0,7.0533,3.6743,1.0377,0.2634,0.2098,0.2967,0.3412,2.2697,0.7101,1.1815,5.3495,0.4593,1.5335,2.5483,0.0672,0.0086,0.3416,0.0689,0,9.5195,0.2558,1.8556,1.5242,0.9163,1.055,0.1377,0.7136,2.75,0,0.0481,0.602,6.5531,0.3314,0.3008,1.0077,0.277,0.077,0.0727,0.0751,0.2925,0,0,0,0,0.0224,0.3741,0.3735,0.5935,0.3908,0.2633,0.9341,1.7862,0.31,0.1949,0.0512,0.0243,0.045,0,0,0,0.0207,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.3812,0,9.6459,4.5186,1.3302,0.1382,0,0.3506,0,1.0023,0.767,2.2111,5.3071,0.4711,1.4004,3.5698,0.0778,0.058,0.1969,0.5516,0.2303,8.4654,0,1.9063,1.0686,0.4606,0.6776,0.0529,0.2756,2.0595,0.1496,0.2907,0.9965,3.631,0.2751,0.2481,0,0.4379,1.2162,0.0083,0.0783,0.2251,0,0,0.1302,0,0.0945,0.2311,0.6126,0.1615,0.0738,0.7737,1.3839,2.8175,1.6104,0.4265,0.6718,0,0.1996,0.0563,0,0.0249,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,9.199,4.0247,1.2093,0.5391,0.0971,0.0046,0.8785,1.8522,0.7294,1.7669,8.6672,0.1747,2.7849,4.5884,0.1453,0,0,0.5051,0,6.6126,0,2.3894,0.6676,0.2202,0,0.2134,0.4886,1.0434,0,0.1487,0.5391,2.3692,0.1829,0.1828,0,0.4858,0.3087,0,0,0.0453,0,0.1359,0,0,0,0.2772,0.2526,0.4772,0.7003,1.2558,3.1784,5.2542,3.6646,0.6854,1.4264,0,0.3121,0.3158,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3269,0.8169,6.785,4.3426,0.8643,0.3801,0.0818,0.0539,0.3856,0.857,0.5058,2.1146,3.3226,0.0442,0.8396,2.5852,0.0297,0,0.1383,0.1352,0,6.3932,0,0.9058,1.1866,0.4658,0.2753,0.0646,0.3384,1.4426,0.0737,0,0.5244,1.1254,0.0623,0.0525,0.0286,0.1503,0.4278,0.0261,0.0261,0.2087,0,0.1067,0.0616,0,0.1159,1.5546,1.2424,1.1327,0.7347,1.9703,2.646,8.9745,6.5521,2.0187,2.4842,0,0.5553,0.6245,0.1635,0.4767,0.1678,0,0.0307,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4416,0,6.3415,3.2026,1.4182,0.1002,0.0211,0.2377,0.444,1.4541,0.4085,2.9272,11.2966,0.4635,2.6635,3.0444,0.0605,0.0197,0.5812,0.0355,0,2.8886,0,2.4373,1.4257,1.0277,1.8281,0.0789,1.1513,2.6072,0.1936,0.0882,0.7394,2.6849,0.1514,0.1916,0.4134,0.359,0.7987,0.1019,0.0509,0.0363,0,0.0725,0.0255,0,0.1154,0.2488,0.3042,0.365,0.1497,0.5864,0.4309,2.9161,2.6151,1.3393,2.5188,0.0086,1.2954,0.4721,0,0,0.0239,0,0.0488,0,0,0.0477,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9096,0,8.2335,5.7957,1.1784,0.4989,0.049,0.2949,0,1.4191,0.4204,1.5746,5.2239,0.2625,1.642,2.7406,0,0,0.168,0,0,8.8853,0.059,1.6141,1.5545,0.4965,1.017,0.0888,0.5006,1.762,0.0798,0.0735,0.6402,2.7021,0.129,0.0175,0.5963,0.3907,0.3747,0,0.044,0.2086,0.0147,0.0232,0.0293,0.0179,0.0151,0.7222,0.4947,0.8463,1.167,1.5269,1.6586,6.5399,3.812,1.5176,1.9461,0.027,0.5844,0.3021,0,0.055,0.0281,0.0268,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2235,0,7.5609,3.9597,1.1683,0.4865,0,0,0.4868,1.2301,0.6826,1.1853,5.0283,0.3908,1.5054,3.3656,0.0679,0.0174,0.2778,0,0,7.2936,0,1.7574,1.0089,0.5658,1.0721,0.0844,0.5671,1.2839,0,0.1404,0.9083,3.0461,0.0798,6e-04,0.186,0.148,0.5555,0.0443,0.0664,0.1106,0,0,0.0333,0,0.2107,1.1986,0.1312,0.6876,0.4332,1.5692,2.046,7.8691,4.3738,1.6023,2.4742,0.0396,1.2455,0.409,0.0267,0.0267,0,0.014,0.0533,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2439,1.4704,6.1729,3.8933,1.1666,0.3703,0.1085,0.2051,0.1005,1.4645,0.4567,1.5189,3.9766,0.3987,1.4033,2.2053,0.0294,0.0421,0.3653,0.2289,0,5.9865,0.0082,1.9084,1.2809,0.4169,0.9414,0,0.4153,1.4565,0,0,0.4618,3.1469,0.1741,0.1874,0,0.3055,0.4207,0.0464,0,0.1082,0,0.4687,0.0694,0.0421,0.2834,2.5644,0.2803,0.6241,0.4591,1.6397,2.2605,8.0989,5.3486,2.3567,2.1085,0.0399,1.3048,0.8459,0,0.0986,0,0,0,0,0.0197,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.0717,0.6383,5.9238,3.0041,1.0677,0.492,0.1356,0,0,1.8062,0.6494,1.9203,6.2392,0.3501,2.486,2.8707,0.0624,0.0634,0.0916,0.1761,0,4.0374,0.0848,0.8332,1.3432,0.8918,1.3907,0.0531,0.8647,1.8496,0.1212,0,0.9346,2.6657,0.4638,0.2892,0.4202,0.4534,0.6105,0.0061,0.0148,0.2229,0,0,0.1953,0,0.3133,1.8665,0.4635,0.7211,0.5833,1.0851,1.9903,6.3631,3.6958,2.7423,3.1399,0,1.6093,0.9584,0.0378,0.0562,0.0126,0.0366,0,0,0,0.0029,0,0,0,0.0685,0.1164,0.3418,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.8199,0,4.7908,3.0419,1.2614,0.3425,0.0732,0,0.0436,1.23,0.5791,2.9781,10.1767,0.5327,3.0317,3.906,0.0384,0,0.2546,0.0851,0,3.298,0,2.3136,2.4457,0.9258,1.1862,0,0.8767,2.1387,0.0846,0.1213,0.7694,3.052,0.2254,0.2335,0,0.5451,1.042,0.0794,0.0556,0.221,0.0117,0.1178,0.0363,0,0.2497,1.7956,0.2133,0.4269,0.1699,0.4598,0.9316,3.5331,2.9778,2.5834,4.3209,0.0338,2.2335,1.0207,0.0561,0,0,0,0,0,0,0,0,0,0,0,0,0.0289,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.7687,0,4.4512,2.835,1.3414,0.3032,0.0787,0.0526,0,1.437,0.5346,3.6591,12.4718,0.4864,3.2873,4.9888,0.0689,0.0386,0.235,0.0764,0,1.9575,0,2.2442,2.6417,1.0101,1.4551,0.0409,0.8942,2.1257,0.0948,0,0.8747,3.8309,0.2984,0.2337,0.508,0.6428,1.0369,0.0421,0.0726,0.1401,0,0,0,0,0,0.5022,0.1285,0.0975,0,0.1424,0.2324,1.2686,2.4113,3.1777,6.5422,0.0176,3.0203,1.1816,0.0115,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5527,0,3.763,2.4881,1.305,0.1606,0.0551,0.0633,0.0785,1.1862,0.4676,3.6528,12.6407,0.5236,3.2596,5.0085,0.0951,0.0244,0.1594,0.0758,0,1.1583,0,1.7135,2.4098,1.056,1.4426,0.0932,0.9707,2.1479,0.1159,0.097,0.9177,3.4363,0.348,0.2247,0,0.5652,1.1562,0.0511,0.0717,0.0539,0,0,0,0,0,0.1117,0.0711,0.0119,0,0,0.0584,1.0651,2.7375,4.4979,8.8313,0.0325,4.175,1.7881,0.019,0,0,0,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.3908,0,3.782,2.3691,1.1583,0.189,0.0198,0.0427,0,1.1781,0.4427,3.3723,10.7521,0.4742,3.1107,4.4516,0.0898,0.0286,0.1283,0.0662,0,1.0355,0,1.6887,2.2808,0.96,1.5238,0.0626,0.907,1.9052,0.0972,0.0642,0.8083,3.2031,0.3176,0.2438,0.318,0.6953,1.2674,0.0558,0.0792,0.0584,0.0061,0,0.0048,0.0105,0,0.1236,0.0903,0.0096,0,0,0.0744,1.3743,3.096,5.3233,10.6997,0.021,5.2082,2.1456,0.0267,0,0,0,0.1654,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1123,0,3.4711,2.2597,1.1889,0.1394,0.0342,0.0352,0.0038,0.9919,0.3851,2.8702,9.8265,0.4202,2.849,4.118,0.0655,0,0.2152,0.011,0,1.1477,0,1.8467,2.3558,0.9191,1.3472,0.0534,0.8193,1.8401,0.0792,0.0971,0.9022,3.0268,0.2781,0.2518,0.3004,0.7713,1.3462,0.0627,0.0593,0.0461,0,0,0.0456,0,0,0.1521,0.0732,0.0568,0,0,0.0943,1.5094,3.087,6.1318,11.8985,0.0329,6.0746,2.5857,0.0024,0.0101,0,0.0109,0.5463,0,0,0,0,0,0,0,0,0.0399,0.101,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.4828,5.2534,0,0.2453,1.019,2.0138,0.4985,0,0,0.032,0,2.9055,5.622,0,0.4539,3.5122,0,0.4323,0,0,0,0.2546,0,1.1354,0.7478,0.776,1.5121,0,0.7319,1.8408,0,1.108,0.3672,1.6105,0,0,0,0.669,1.3566,0,0,0,0,0,0.3462,0,0,0.2266,0.3397,0,1.2158,0,0.245,4.7504,1.9133,3.4924,11.3291,0,5.4416,2.3337,0,0,0,0.7569,0.1845,0,0,0,0,0,0,0,0,0,2.0814,0,0,0,4.7628,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2387,2.2264,4.4693,0,0.2508,0,0,0.25,0.7372,0.4828,0,2.1759,10.143,0.4457,2.4003,2.4765,0,0,0.2133,0,1.116,0,0.3459,1.6477,2.7326,0.1928,1.4961,0,0.683,2.6224,0,0.1437,0.6962,1.3813,0,0.5409,0.8933,0.8772,0.8757,0.3488,0.1741,0.5211,0,0,0,0,0,1.1873,0,1.6899,0.1645,0.3526,1.4278,3.1237,2.3648,5.3153,12.7284,0,3.859,2.5875,0,0.361,0.1201,0,0.2595,0,0,0.3505,0,0,0.3967,0,0,0,0,0.0911,0.4346,0.1589,0.2284,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.714,0,3.5321,1.7087,1.843,0.3904,0,0,0.3236,0.7677,0,2.3362,8.9588,0.6711,1.8956,3.7921,0.1746,0.1744,0.0236,0.3086,0,2.6362,0,0.1384,0.486,0.3026,2.026,0,0.665,1.0597,0,0.1348,0.1335,1.8702,0.2812,0.4208,0.8264,0.7142,1.8165,0,0,0.2263,0.1345,0,0.1342,0,0.5386,1.6748,0,0,0,0.2999,1.0662,2.465,2.2389,3.53,9.9714,0,4.754,3.7135,0,0,0,0.315,0,0.845,0,0,0.0951,0,0.8531,0.0945,0.66,0.2019,0.0358,0.0936,0,0.5602,0.3724,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,4.5563,0.6336,4.2932,0.5402,0,0.2685,0,0,1.9575,0.2614,3.8128,8.1585,0,3.2515,3.6975,0.4537,0.2264,1.2704,1.034,0,0.0669,0.9546,2.9462,1.2658,0.5808,1.7124,0.1896,0,1.6328,0.1858,0,0.498,1.5561,0.6348,0.3566,0,0,2.2704,0,0.1734,0,0,0,0,0.3448,0.2699,1.0283,0.2561,1.5144,1.1641,0,0.4106,0.9199,3.1165,3.5405,10.6247,0.1334,6.021,1.9934,0,0.377,0,0,0,0,0,0,0.1221,0,1.1297,0.1209,0.1563,0.962,0.1199,0.273,0.0334,0.5954,0.9483,0.3848,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,4.2965,2.5223,0,0.6158,0,0.3071,2.1998,0.5217,0.5989,3.2596,8.5912,0.8343,2.377,4.7463,0.2657,0.2653,0.5707,0,0,0.725,0,0.8369,1.3807,0.9291,2.5512,0,1.4814,1.3575,0,0.1161,0.5585,2.9544,0,0,0,0.2083,1.5779,0,0,0.2095,0,0.2,0,0,0.1928,0.5023,0,0,0.0877,0.7029,1.4034,2.1185,3.0198,6.612,13.2661,0,6.4713,3.3904,0,0,0,0,0.025,0.2933,0,0.024,0,0.3157,0,0.1452,0.3151,0.194,0.288,0,0,0,0.1436,0.4302,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0,1.3023,0.8566,0.4857,0.2424,0,0.242,0,0.2371,4.0923,6.8122,0.2228,3.6106,2.5445,0.2128,0,0.2861,0.2846,0,4.3165,0.1722,0.8473,3.2004,1.2921,1.7824,0.3621,1.3853,1.815,0.3528,0.2124,0.9455,0.6707,0.676,0.5054,0.2373,1.6182,4.3504,0,0,0.3182,0,0,0.0184,0,1.2599,0.7179,0,0,0.9978,0,0,4.7509,1.8992,8.4474,9.497,0,6.9042,4.4622,0,0.2566,0,0,0,0,0,0,0,0,0,0,0.4634,0.8173,0.3699,0.3692,0.0922,0,0.1841,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,2.2144,2.227,1.146,0.4456,0.0991,0,1.5615,1.0589,0.4325,2.0414,9.2234,0.5366,1.0424,4.8261,0.1274,0,0.4453,0,0.806,0,0,0,0,0.6249,1.5161,0,0.9396,2.624,0,0,0.9902,3.4217,0.3528,0.8634,0.4687,1.1828,3.1824,0.0973,0.3887,0.291,0,0,0.0353,0.1666,0,0.9905,0.1637,0.886,0.0204,0.624,0,3.3621,2.7127,5.9953,14.6266,0.0056,7.9135,2.9507,0.1334,0,0.0666,0,0,0,0,0.1307,0.1302,0.3248,0.6366,0,0,0.7589,0.5672,0,0.0599,0.1225,0.1883,0.0627,0.0627,0.0627,0,0.0626,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3.0298,1.7479,2.0356,1.4207,0,0.2016,0.2013,0.7417,0.2225,0.3493,2.2864,5.3261,0.9224,2.4489,3.6547,0,0,0,0.0542,0.2592,2.9141,0,3.6206,2.3514,0.9084,1.584,0,0.6084,1.7668,0.077,0.4376,1.09,4.927,0.4139,0.2753,1.197,2.2168,4.2698,0,0.2549,0.1273,0,0,0.0933,0,0,0,0.0493,0.0981,0.3389,0.1706,0.02,0.0817,3.3606,5.3995,14.1205,0,5.7746,3.2936,0,3e-04,0.0877,0,0,0,0,0.0909,0.1692,0,0.93,0,0.2511,0.336,0.4944,0.0822,0.1643,0,0,0.1634,0.0816,0.0816,0,0,0.1627,0.1618,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.051,0,3.5724,2.3212,1.2618,0,0,0,0,0.7728,0.494,2.4219,6.7671,0.5782,2.8751,4.1797,0.1096,0.2924,1.0161,0.5385,0,1.8614,0,0.9277,0.8333,0.3535,0.6791,0.1561,1.0383,1.4611,0,0.2262,1.3945,2.6139,0.7113,0.266,1.5247,2.851,3.5615,0.0829,0,0.1232,0.0827,0,0.2047,0,0,0,0.2019,0,0.4345,0,0.7878,1.5992,2.1498,6.6301,13.2705,0.0768,8.7053,2.4318,0,0.2002,0,0,0,0,0.0547,0.0959,0.1275,0,0.1839,0.0538,0.0911,0.7133,0.2915,0.2118,0.1058,0.1141,0.2639,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.6737,0,2.7613,1.9262,0.7427,0,0.0751,0,0.2146,0.3962,0.0601,1.7559,9.1067,0.1685,3.5088,2.9307,0.0647,0,0.0513,0,0,2.6469,0,2.7096,1.7682,1.0019,1.2067,0.2235,0.75,1.7598,0.2506,0.2018,1.7816,4.1515,0.6596,0.333,2.3389,2.6184,3.0911,0.0942,0.0471,0,0,0,0.0125,0,0,0.3308,0.1341,0,0,0,0,1.8141,2.3815,6.1058,10.2551,0.0264,8.4299,4.1819,0,0,0,0,0,0,0,0,0.3045,0.0977,1e-04,0,0.2014,1.291,1.5474,0.1859,0.1094,0.0335,0.1091,0,0.2347,0.0417,0.0251,0,0.0251,0.0502,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,0.4632,0,0.8325,0.0445,0.1036,0,0.2828,0.8365,0.1825,3.0669,7.2809,0.6099,2.1793,4.5554,0,0.629,0.0915,0.388,0,2.3473,0,1.7892,2.037,0.7311,1.8432,0,0.5975,2.1612,0.1201,0,2.638,3.145,0.1799,0.5312,1.9958,0.9108,2.9925,0,0.133,0.531,0,0.095,0,0.427,0,0.8647,0.3225,0,0,0,0.3133,1.9693,3.4334,7.9982,12.3004,0.1905,7.8643,3.82,0,0.3025,0,0,0,0,0.0245,0,0.3394,0.4151,1.0454,0.0775,0.1664,1.4684,1.7437,0.2242,0.4357,0.3619,0.0404,0.1668,0.1972,0.1011,0,0,0.0306,0,0.0306,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2.5036,0,1.0677,0,0.7487,0.7453,0,0,0.8159,0.7031,0.1208,2.2468,7.1474,0.1894,2.6373,3.3139,0,0.0673,0.0942,0.0142,0,2.2777,0,2.6666,1.489,1.1384,1.408,0.093,1.1686,1.8778,0,0.3193,1.8025,3.3638,0.8489,0.4227,2.1462,0.8352,2.4476,0,0,0,0.0797,0,0,0.0656,0,0.2314,0.1735,0.3441,1.468,0.1186,0.3849,0.3193,2.9919,7.6986,15.2294,0.0655,7.0541,3.0451,0.15,0,0,0,0,0,0.229,0,1.1074,0.9952,0.8367,0.0502,0.6171,1.4013,1.3129,0.1336,0.3397,0.2534,0.1245,0.0012,0.2485,0.1251,0,0,0,0,0,0,0.0836,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
7.5804,0.4342,1.0249,0.6337,1.0153,0.1452,0.1447,0.1435,0.5739,0.4224,0.1404,2.6365,8.4423,0,1.7311,3.0679,0,0,0,0.6112,1.4733,1.5658,0,2.5667,2.2288,0.5109,0.8648,0.3147,1.4708,1.546,0,0.3332,1.282,2.7868,0.1374,0.3524,0,2.0121,2.6339,0,0.1773,0,0.177,0.2658,0,0.2054,0,0,0,0,0,0.0149,0.3477,2.4972,2.717,5.7371,12.9108,0.354,7.1561,2.9033,0.1095,0.1204,0,0,0,0,0.0522,1.1906,1.0966,0.6471,0.556,0.1463,0.6723,0.9537,1.3053,0.1118,0.4934,0.4684,0,0.2778,0.4156,0,0,0,0,0,0.0461,0,0.0461,0,0,0,0,0,NA,NA,NA,NA,NA,NA
1.0779,0,3.22,2.0429,0.7968,0.3105,0.0753,0.0795,0.7955,1.2367,0.3099,2.0681,5.6816,0.4279,2.3175,3.1377,0.0695,0,0.6805,0.0128,0.0927,2.908,0.3401,2.3501,1.4461,0.589,0.5262,0,0.8123,1.3278,0.0696,0.4273,1.8511,3.7921,0.4139,0.4659,0.078,1.6669,1.2621,0.1533,0.1531,0.1487,0,0.1393,0.0783,0.0596,0.0272,0,0,0.1568,0.0747,0.2175,0.2918,2.2238,4.0678,6.6322,13.0126,0.3376,8.3184,3.8267,0,0.1303,0,0,0,0,0.0817,0,2.3611,1.1856,1.2423,0.1687,0.3044,1.4308,1.7041,0.4646,0.6395,0.5647,0,0.1156,0.5907,0.3137,0,0,0,0.0233,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
0,0,3.3237,2.1051,0.7507,0.585,0,0.1358,1.1928,0.3672,0,1.3851,6.8913,0.548,2.5991,4.0339,0,0.2602,0,0.3372,0.3531,0,0,2.8432,0.631,0.8131,0,0.318,1.0345,1.8347,0.1961,0.3346,1.7017,2.0362,0.2269,0,1.0574,1.1726,1.6465,0.399,0.0996,0.2056,0.0992,0.0435,0,0.0371,0.3175,0,0.3852,0.1707,0.249,0.4154,0.9343,2.5955,2.537,8.1673,11.4013,0.1201,10.3419,4.4503,0.1477,0.0547,0,0,0,0,0,0,2.6105,1.3034,0.4608,0.2795,1.0307,1.281,1.6057,0.3127,1.1797,0.6409,0.2268,0.1131,1.4094,0.4938,0.0361,0,0.0931,0,0,0,0.036,0,0,0,0,0,0,0,NA,NA,NA,NA
2.7373,0,2.8904,0.7004,0.6421,0.0273,0.0679,0,0.4817,0,0.3984,1.3535,5.0781,0.756,1.4142,3.759,0,0,0,0,0,2.3648,0,1.2719,2.2222,0.5521,1.2872,0.0837,0.3738,1.2246,0.1806,0.056,2.0469,2.7068,0.2622,0.2391,0.0447,1.8328,1.8199,0.2156,0.1077,0.115,0,0.4499,0.0369,0,0,0,0.0784,0.8085,0,0.7695,1.1149,2.0478,3.5694,8.0786,13.502,0.4773,7.9369,4.3982,0.1747,0,0,0,0,0,0,0,2.6247,2.9602,0.7292,0,0.4471,1.7554,1.8279,0.4011,1.1606,0.7333,0.1173,0.2224,1.7128,0.3895,0.0802,0.016,0.0653,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
6.1402,0,4.2517,0.447,0.5793,0.4298,0,0.291,0.8025,0.8366,0.1421,2.1129,6.714,0.1321,1.5791,2.9563,0,0,0,0.0792,0,3.4933,0,2.4667,2.4721,0.7373,0,0,0.7736,1.2358,0,0,1.0298,3.0051,0.2643,0.587,0,1.4379,2.3647,0.0925,0.0924,0.2439,0,0.4772,0.3893,0.0243,0.1532,1.0142,0.2512,0.5107,0,0.4332,0,3.3593,2.2233,5.809,9.0417,0,7.3904,3.6768,0.0639,0.4685,0,0,0,0,0,0,3.4263,1.6812,0.5596,0.0258,1.0486,1.1526,3.199,0.6661,0.9967,0.6059,0,0.1441,1.5438,0.6388,0,0.0322,0.1106,0,0.0322,0.0138,0,0,0,0,0.0139,0.0322,0,0,0,0,NA,NA
4.6361,0,2.4,0,0.7117,0.08,8e-04,0,0.4721,0.8474,0,1.7524,8.1397,0.3572,2.5222,3.5289,0.0682,0.0601,0,0.1869,0,1.8593,0,1.7853,2.0479,0.5544,1.1352,0.1084,1.435,1.8125,0.0819,0,1.8246,3.4728,0.6542,0,1.5056,1.3271,1.8473,0.0504,0.1511,0.3381,0,0,0,0.1537,0,0.5392,0.2859,0.5614,0,0,0.4731,2.7669,2.6169,7.3347,9.4768,0.4039,7.8852,3.6088,0.0779,0,0,0,0,0,0,0,2.9951,1.9531,0.4802,0,0.4443,1.5176,2.2058,0.5129,1.4177,0.9451,0.1396,0.2217,2.1881,0.612,0.029,0.0174,0.1969,0.0115,0,0,0,0,0,0.1209,0.017,0.0347,0,0,0,0,0,NA
